zone,avg_trip_miles
JFK Airport,16.721110641338285
Rikers Island,15.379
Newark Airport,15.1
LaGuardia Airport,11.012355605559891
Great Kills Park,10.88558064516129
Breezy Point/Fort Tilden/Riis Beach,9.379171874999999
City Island,8.76293099199014
Randalls Island,6.861683771929824
Jamaica Bay,6.798620689655173
Charleston/Tottenville,6.619629727871107
Financial District South,6.520303001818665
Glen Oaks,6.502009708737865
Rossville/Woodrow,6.492420817588458
Broad Channel,6.389149779735683
World Trade Center,6.368438543637877
Arden Heights,6.361565993053363
Rockaway Park,6.32922614763129
Financial District North,6.1835000183519915
Bay Terrace/Fort Totten,6.1389084112149535
Riverdale/North Riverdale/Fieldston,6.137590480198458
