weekday,hour,rides
Friday,0,98312
Friday,1,60323
Friday,2,41141
Friday,3,37360
Friday,4,46864
Friday,5,68279
Friday,6,114208
Friday,7,177318
Friday,8,202293
Friday,9,172540
Friday,10,154004
Friday,11,151077
Friday,12,157365
Friday,13,165663
Friday,14,182406
Friday,15,182902
Friday,16,195963
Friday,17,220455
Friday,18,237798
Friday,19,237360
Friday,20,211992
Friday,21,203645
Friday,22,210352
Friday,23,202983
Monday,0,55387
Monday,1,34432
Monday,2,23640
Monday,3,21885
Monday,4,28103
Monday,5,42682
Monday,6,70889
Monday,7,108008
Monday,8,129146
Monday,9,114232
Monday,10,101904
Monday,11,98947
Monday,12,100424
Monday,13,106066
Monday,14,118429
Monday,15,122087
Monday,16,126710
Monday,17,138344
Monday,18,138166
Monday,19,123074
Monday,20,111899
Monday,21,105749
Monday,22,94489
Monday,23,79999
Saturday,0,172755
Saturday,1,133130
Saturday,2,98885
Saturday,3,77256
Saturday,4,63081
Saturday,5,58907
Saturday,6,75414
Saturday,7,96008
Saturday,8,122940
Saturday,9,148880
Saturday,10,161526
Saturday,11,173073
Saturday,12,187181
Saturday,13,197036
Saturday,14,196411
Saturday,15,207948
Saturday,16,216345
Saturday,17,233822
Saturday,18,251103
Saturday,19,256262
Saturday,20,235293
Saturday,21,221494
Saturday,22,233967
Saturday,23,220604
Sunday,0,148889
Sunday,1,114772
Sunday,2,86837
Sunday,3,66138
Sunday,4,51627
Sunday,5,43690
Sunday,6,51621
Sunday,7,62893
Sunday,8,69580
Sunday,9,85412
Sunday,10,92774
Sunday,11,95020
Sunday,12,103295
Sunday,13,107928
Sunday,14,111604
Sunday,15,110986
Sunday,16,111644
Sunday,17,112568
Sunday,18,115875
Sunday,19,108728
Sunday,20,101152
Sunday,21,94966
Sunday,22,93781
Sunday,23,81079
Thursday,0,124670
Thursday,1,97750
Thursday,2,82744
Thursday,3,70738
Thursday,4,66220
Thursday,5,76490
Thursday,6,114120
Thursday,7,173616
Thursday,8,193214
Thursday,9,161944
Thursday,10,139313
Thursday,11,133884
Thursday,12,135980
Thursday,13,145951
Thursday,14,164430
Thursday,15,168081
Thursday,16,177946
Thursday,17,200750
Thursday,18,202986
Thursday,19,195039
Thursday,20,183919
Thursday,21,175482
Thursday,22,164867
Thursday,23,138614
Tuesday,0,50836
Tuesday,1,29586
Tuesday,2,20370
Tuesday,3,19736
Tuesday,4,29337
Tuesday,5,50945
Tuesday,6,90624
Tuesday,7,146727
Tuesday,8,170226
Tuesday,9,143649
Tuesday,10,118367
Tuesday,11,108139
Tuesday,12,108080
Tuesday,13,114234
Tuesday,14,131034
Tuesday,15,130942
Tuesday,16,140004
Tuesday,17,159739
Tuesday,18,156776
Tuesday,19,143859
Tuesday,20,138227
Tuesday,21,130097
Tuesday,22,112669
Tuesday,23,88588
Wednesday,0,56780
Wednesday,1,32202
Wednesday,2,21780
Wednesday,3,20773
Wednesday,4,30173
Wednesday,5,51468
Wednesday,6,94307
Wednesday,7,153862
Wednesday,8,175934
Wednesday,9,145050
Wednesday,10,118582
Wednesday,11,109819
Wednesday,12,109389
Wednesday,13,115207
Wednesday,14,130271
Wednesday,15,130144
Wednesday,16,139856
Wednesday,17,159637
Wednesday,18,159922
Wednesday,19,150534
Wednesday,20,141697
Wednesday,21,136666
Wednesday,22,122496
Wednesday,23,97418
