zone,total_trips,avg_fare,avg_fare_per_mile,avg_driver_pay,avg_take_rate_pct,avg_driver_share_pct,avg_tip_pct,avg_speed_mph
Allerton/Pelham Gardens,39371,17.80414594498489,7.083436468352578,13.830452871402809,23.892512430797968,76.10748756920204,2.3344045186135354,14.314429893294824
Alphabet City,48448,25.161639902575956,8.509405254347026,18.256760031373844,27.522951480353672,72.47704851964632,4.235945852100681,12.454794550584785
Arden Heights,5320,26.246827067669173,5.3548837196783525,19.692964285714286,25.952006522748913,74.0479934772511,6.610193008183191,20.17973488410164
Arrochar/Fort Wadsworth,10140,22.508732741617354,5.917552760837631,16.98745956607495,25.403394982586452,74.59660501741355,4.253763678265015,17.9614753332656
Astoria,172647,19.867545454018895,7.353275900057097,15.28434545633576,24.660438713910526,75.33956128608946,5.132732358605491,13.11641478310982
Astoria Park,398,19.826256281407037,7.947676019001862,14.729949748743717,28.110971321733466,71.88902867826653,4.664171942415524,12.71768516014875
Auburndale,16539,21.38738920128182,6.1673842334316245,16.126712618658928,25.754664811890176,74.24533518810982,4.899138394870656,16.56906287540564
Baisley Park,56211,20.82930031488499,6.597814751427579,15.856860578890252,24.60216970227539,75.39783029772461,2.252651308264438,14.541001718437112
Bath Beach,22646,19.83622096617504,7.004366675151916,15.28593570608496,24.197549589189542,75.80245041081047,4.512848198682899,14.067300196224
Battery Park,1281,34.80367681498829,9.280703254662074,22.753309914129588,34.06340003664427,65.93659996335573,6.605384115331911,13.611584072287238
Battery Park City,80628,37.60825222007243,9.390791338749708,23.758678250731755,35.652204261666476,64.34779573833353,5.088453691581891,14.82228779350076
Bay Ridge,107369,21.44085909340685,7.388949691515125,16.200036509607056,26.26961736567419,73.7303826343258,6.449458544579975,14.232200095171615
Bay Terrace/Fort Totten,13297,25.724502519365274,5.604894774919143,19.287613747461833,25.71116627959164,74.28883372040836,6.482165130218902,19.125220114946874
Bayside,40044,23.158090600339627,6.271943932937666,17.097829137948256,27.449545504110006,72.55045449589,5.376761397276209,17.88406607557591
Bedford,145297,20.762722354900653,8.57486163703917,15.82942793037709,23.731737238237436,76.26826276176257,3.721533555067739,10.235286139945385
Bedford Park,77953,18.5507038856747,7.626713923454125,14.644965427886033,22.2231922534979,77.7768077465021,1.4671530938593433,12.502066234269195
Bellerose,16673,23.05761710549991,5.776891319448466,17.627612907095305,24.76964292162836,75.23035707837164,3.63655992925347,19.307595545416643
Belmont,48262,19.846447722846133,7.464468021322588,15.286088226762255,22.88705546870636,77.11294453129364,2.0124083353298667,13.26256455761226
Bensonhurst East,51844,18.633042010647326,7.484956076007155,14.504457796466323,23.60479117218049,76.39520882781952,3.736824555575617,11.864144219950779
Bensonhurst West,69523,18.348210664096772,7.588940144571203,14.263494670828358,23.742679570125777,76.25732042987423,3.996429400482836,11.819560320625447
Bloomfield/Emerson Hill,27571,23.427009901708317,5.58344710213311,17.7129864712923,24.68527802554575,75.31472197445426,3.9977701573224134,18.95343307621917
Bloomingdale,22479,24.31854352951644,7.93817003670592,18.067954980203744,25.763433349386972,74.23656665061303,6.00353977903023,12.608576994150603
Boerum Hill,102545,27.223584182554,8.459721620241503,19.74200711882588,26.314146885107768,73.68585311489223,5.76963518874748,11.997948451993862
Borough Park,106318,18.05283827761997,9.550665392262886,13.828583871028423,25.037180789459576,74.96281921054043,2.1089812237775662,9.124487669955585
Breezy Point/Fort Tilden/Riis Beach,672,39.78549107142857,4.86994127997676,29.576949404761905,26.914413389922828,73.08558661007717,7.80833869530404,24.856704089042154
Briarwood/Jamaica Hills,44139,20.701740184417407,7.212179064666953,15.973908788146536,24.27504719634132,75.72495280365868,3.1964593991410917,14.305083165847323
Brighton Beach,40492,19.203922009285783,7.43090764127837,14.718889904178605,25.096562673351738,74.90343732664826,4.295245833692221,13.132240870763153
Broad Channel,938,28.19174840085288,5.385175895434621,21.553294243070365,24.880320238374843,75.11967976162515,6.867899067631789,19.10866891764707
Bronx Park,4841,21.641879776905597,6.7872587061176475,16.61015079529023,23.217206641292982,76.78279335870702,3.4432670555055354,14.944950784081477
Bronxdale,40767,19.103649520445458,6.806641504891901,15.113691466136826,21.731132693017376,78.26886730698261,1.6970534828255945,14.332093615495852
Brooklyn Heights,87084,30.19991996233522,8.494321294628913,21.032653300261817,28.907430161841035,71.09256983815897,6.3156925898793475,13.219415932753842
Brooklyn Navy Yard,14686,29.859876753370557,8.386587415434803,20.83037110172954,28.203680274544137,71.79631972545587,4.92633165393338,13.05709765223988
Brownsville,95744,18.420730071858287,8.136218999217531,14.441009149398395,22.888884858535686,77.11111514146431,1.0978732212085125,10.627998238862082
Bushwick North,151607,21.69315842936012,7.805451354684477,16.633673577077577,24.055434684661194,75.9445653153388,4.622395422350293,11.231371731628514
Bushwick South,199297,22.531189832260395,7.985450214880147,17.217364486168883,23.881312013666342,76.11868798633365,4.219296293739706,11.066102260593551
Cambria Heights,22028,23.333674414381697,6.100914007848439,17.93083030688215,24.157041785496943,75.84295821450306,2.0587906521192543,16.9143733002853
Canarsie,130436,18.323373301849184,7.465873785231238,14.090883958416388,24.82433237094024,75.17566762905976,1.6109638154665546,12.423008542018158
Carroll Gardens,47009,26.062582058754703,8.172255893925634,18.58363100682848,28.330291034302522,71.66970896569748,7.0618718071109035,12.714797751719699
Central Harlem,109920,20.961995906113536,7.876237130437042,15.929636462882096,24.054480614875054,75.94551938512494,4.365600873917558,12.150122644926576
Central Harlem North,145704,19.75971277384286,7.456305601728709,15.276145267116895,23.156753192194927,76.84324680780507,3.01649824762884,13.434853906041505
Central Park,23823,32.05014020064643,11.240035139439623,20.849159635646224,33.56858192759123,66.43141807240876,7.023855151644117,11.042169473446931
Charleston/Tottenville,8825,27.16339150141643,5.643837600035051,19.88865042492918,28.089725684615466,71.91027431538454,5.84433411470326,21.30987555825037
Chinatown,43734,28.220462797823203,8.819218807189586,19.780811496775964,29.96333203394897,70.03666796605103,5.131467935854043,12.872541968903198
City Island,2604,35.62077956989247,4.3907982037753905,27.261328725038403,22.173817317794025,77.82618268220597,4.038004780349038,23.510265807232052
Claremont/Bathgate,52774,18.102055178686474,7.722303115837412,14.23661897904271,21.9860273928676,78.0139726071324,1.0544721382526068,12.120435687594048
Clinton East,158726,33.43833644141476,10.084917855132064,22.77315178357673,31.969174768366898,68.03082523163312,6.121172166124761,13.261956147324588
Clinton Hill,110973,23.611795752119885,8.289518397416616,17.501051697259694,24.967318773867994,75.03268122613201,5.255175824785136,10.882970899743352
Clinton West,85266,29.324320010320648,9.575955403473985,20.118962892594936,31.73221016352918,68.26778983647083,5.324956204122783,12.720817607429488
Co-Op City,64247,20.95869067816396,5.986889180824319,16.62320808753716,21.73141546400396,78.26858453599604,2.1811547022461664,16.51587663383163
Cobble Hill,31379,27.222635839255553,8.461627495775106,19.341262309187673,28.004136461033323,71.99586353896667,6.952985821402165,12.738066548108328
College Point,27101,24.085086528172393,6.044976403468532,18.791103649311832,23.011393298136834,76.98860670186318,2.748936188317114,16.60259119379385
Columbia Street,11371,25.601984873801776,7.730057797238529,18.40811450180283,27.603926803814236,72.39607319618577,7.625968659278564,13.826175964746513
Coney Island,48723,20.579775465385957,6.983279494954167,16.048910370872076,24.505042489341953,75.49495751065805,2.926401465566932,14.194036228230594
Corona,60136,19.018607822269523,7.140481920965336,14.813880870027937,23.600377988047068,76.39962201195293,2.0340061339732287,13.498418637564269
Country Club,6226,22.388406681657564,6.131169101398468,17.086787664632187,25.12959419197643,74.87040580802356,4.079783089361194,17.089355244106123
Crotona Park,1681,20.082843545508627,7.2150284604252155,15.715663295657347,21.71324702632033,78.28675297367967,1.59626233762251,13.014257139859994
Crotona Park East,36695,18.12685842757869,7.3221211600224345,14.350397601853112,21.872309149111558,78.12769085088844,1.2322360344581502,13.211900822536943
Crown Heights North,220434,21.292531687489223,8.070451289987574,16.356732309897748,23.078057450218534,76.92194254978146,3.6611651602000506,10.557020855043472
Crown Heights South,62146,21.913124899430375,8.33501749141088,16.807077688024975,23.474442041793544,76.52555795820645,3.2468042877875827,10.453927975220214
Cypress Hills,52742,19.752170755754427,7.386350761659587,15.532285654696448,23.274450245396427,76.72554975460358,1.8219257914707077,12.443236188203102
DUMBO/Vinegar Hill,65882,29.58699052852069,7.969491675573376,20.617827024073343,28.483527335698433,71.51647266430157,4.74322632288909,13.296599762826004
Douglaston,12826,25.994764540776547,5.802112132596099,19.25278106970217,26.249329250857503,73.75067074914249,5.892116447017937,19.546428359689326
Downtown Brooklyn/MetroTech,74644,28.151037993676653,7.878683132812126,20.55986067198971,25.244529816734687,74.75547018326532,4.831377038039182,13.258923692153857
Dyker Heights,36057,20.46959896830019,7.629303296099929,15.381246082591451,25.749633117992577,74.25036688200743,5.237618347070449,12.707855939569525
